Date,Year,Month,Day,Season,Country,City,Temperature_C,Humidity_%,WindSpeed_mps,Pressure_hPa,Rainfall_mm,Visibility_km,UV_Index,PM2_5,PM10,NO2,SO2,CO,Ozone,NH3,Aerosol_Optical_Depth,Traffic_Density,Industrial_Activity,Green_Cover_%,Population_Density,AQI,AQI_Category
2024-03-16,2024,3,16,Summer,Japan,Osaka,36.1,48.0,3.9,1011.9,2.1,8.4,2.4,39.3,51.2,35.0,9.8,2.23,25.3,10.7,0.25,87,48,49,17241,156,Unhealthy
2024-03-07,2024,3,7,Summer,Canada,Montreal,20.5,79.0,3.0,1019.7,12.3,5.9,4.7,18.7,45.8,22.7,8.1,1.34,31.8,19.1,0.77,37,45,24,14290,98,Moderate
2025-06-02,2025,6,2,Monsoon,Japan,Kyoto,24.9,65.0,6.5,1016.8,2.5,10.0,4.7,38.6,75.1,23.5,12.4,2.31,33.5,17.6,0.5,37,87,21,23785,160,Unhealthy
2024-06-06,2024,6,6,Monsoon,India,Chennai,16.9,77.0,8.4,1007.3,13.1,5.0,3.6,27.0,58.6,17.7,25.4,1.08,35.5,24.0,0.6,68,92,31,15554,131,Unhealthy for Sensitive Groups
2024-05-13,2024,5,13,Summer,USA,Chicago,25.3,65.0,10.8,1007.0,7.9,9.4,6.6,27.5,57.9,22.1,14.7,1.42,24.3,17.3,0.36,43,60,66,10816,111,Unhealthy for Sensitive Groups
2025-01-15,2025,1,15,Winter,Canada,Vancouver,26.0,41.0,7.2,1011.5,9.5,11.9,7.9,45.6,62.4,17.7,11.0,1.69,47.8,18.0,0.46,57,91,38,11273,169,Unhealthy
2025-12-13,2025,12,13,Winter,Brazil,Rio de Janeiro,19.6,92.0,5.2,1012.4,5.0,4.1,6.4,39.8,68.9,33.2,13.7,0.73,31.6,22.5,0.73,68,81,8,9163,177,Unhealthy
2024-08-24,2024,8,24,Monsoon,France,Lyon,26.2,36.0,5.1,1023.6,,8.3,5.4,18.5,35.8,14.7,12.6,1.08,45.7,10.4,0.33,27,77,34,22609,88,Moderate
2024-05-28,2024,5,28,Summer,India,Mumbai,28.3,57.0,8.6,1015.8,0.0,6.3,3.3,18.1,28.2,44.0,17.0,2.48,42.4,21.1,0.11,39,97,56,1939,103,Unhealthy for Sensitive Groups
2025-01-09,2025,1,9,Winter,USA,Seattle,23.4,94.0,10.2,1017.7,4.3,10.2,6.1,69.8,91.5,28.7,12.8,2.42,38.3,17.7,0.91,80,30,49,24746,243,Very Unhealthy
2025-02-10,2025,2,10,Winter,Australia,Sydney,26.7,74.0,1.6,1003.6,,9.1,8.9,32.6,71.9,26.6,9.6,0.73,42.2,10.8,0.42,46,30,12,6979,155,Unhealthy
2025-12-14,2025,12,14,Winter,USA,Chicago,20.1,91.0,4.4,996.9,1.3,6.5,5.2,21.6,53.8,27.5,20.5,1.35,42.6,14.3,0.61,42,87,63,19541,111,Unhealthy for Sensitive Groups
2025-04-24,2025,4,24,Summer,Canada,Montreal,23.9,61.0,11.3,1006.6,0.8,7.3,3.0,25.2,44.4,23.9,9.9,0.66,38.9,20.4,0.83,47,49,13,16382,121,Unhealthy for Sensitive Groups
2025-01-27,2025,1,27,Winter,India,Chennai,38.0,92.0,11.1,1016.6,0.2,3.2,5.8,54.0,68.8,46.0,18.1,2.23,63.5,16.4,0.75,29,77,18,19384,223,Very Unhealthy
2025-07-31,2025,7,31,Monsoon,USA,Houston,38.1,93.0,10.3,1010.6,4.3,6.0,2.9,40.1,53.9,45.3,7.9,1.76,27.7,13.4,0.35,79,57,20,20216,175,Unhealthy
2024-05-31,2024,5,31,Summer,Germany,Cologne,16.9,78.0,8.8,1015.5,3.1,7.9,5.2,59.4,91.1,27.0,12.8,1.72,45.7,19.1,0.26,33,49,68,22901,207,Very Unhealthy
2024-05-25,2024,5,25,Summer,Australia,Adelaide,27.0,67.0,8.4,1023.2,9.3,7.3,10.5,28.8,47.1,25.0,6.6,1.96,30.2,15.0,0.24,62,26,49,17048,119,Unhealthy for Sensitive Groups
2025-12-06,2025,12,6,Winter,Canada,Ottawa,21.4,78.0,2.2,1003.6,12.8,5.8,5.8,32.2,47.7,29.7,7.0,1.99,31.4,17.2,0.76,99,37,43,17832,140,Unhealthy for Sensitive Groups
2024-01-01,2024,1,1,Winter,India,Hyderabad,18.8,61.0,6.5,1006.2,2.0,7.9,3.2,88.0,104.0,38.7,18.1,1.83,37.9,23.4,0.38,23,42,19,20126,297,Very Unhealthy
2024-10-30,2024,10,30,Autumn,Germany,Frankfurt,29.6,62.0,7.8,998.9,0.0,9.7,9.6,38.7,67.4,20.9,9.2,1.03,42.0,22.0,0.38,46,68,18,9831,159,Unhealthy
2024-11-25,2024,11,25,Autumn,France,Marseille,24.4,49.0,5.1,1003.5,9.4,5.0,8.0,36.4,68.6,25.3,10.0,1.22,36.5,8.3,0.81,40,90,18,11977,155,Unhealthy
2024-09-27,2024,9,27,Autumn,South Africa,Bloemfontein,20.1,85.0,2.0,1015.2,2.8,9.3,5.2,67.8,99.0,38.5,8.9,0.95,47.9,17.7,0.22,72,58,17,8665,261,Very Unhealthy
2024-10-27,2024,10,27,Autumn,China,Guangzhou,18.9,58.0,10.4,1015.6,4.3,6.3,7.6,48.8,81.4,51.4,15.0,1.65,41.2,27.8,0.55,20,72,7,11069,213,Very Unhealthy
2024-11-10,2024,11,10,Autumn,Australia,Melbourne,27.1,84.0,0.9,1011.6,13.9,8.9,5.8,35.8,53.9,31.5,12.0,1.3,43.8,31.7,0.45,51,90,56,13072,146,Unhealthy for Sensitive Groups
2025-04-08,2025,4,8,Summer,France,Nice,21.3,47.0,2.1,1011.9,0.0,7.0,3.1,30.0,46.9,21.8,13.1,1.18,40.9,13.3,0.48,23,77,15,11036,128,Unhealthy for Sensitive Groups
2024-05-27,2024,5,27,Summer,South Africa,Cape Town,24.5,37.0,8.0,1012.1,7.5,8.0,7.5,55.4,93.7,25.9,11.8,2.17,40.2,13.9,0.76,47,24,41,14513,207,Very Unhealthy
2024-02-27,2024,2,27,Winter,Japan,Sapporo,19.3,84.0,10.1,1004.5,6.4,8.9,5.9,51.6,82.4,29.7,15.4,0.8,39.6,21.8,0.5,42,71,11,10884,205,Very Unhealthy
2025-03-30,2025,3,30,Summer,Canada,Montreal,25.0,82.0,3.3,1029.4,3.4,7.0,7.0,40.0,61.4,37.3,11.6,1.29,43.3,25.4,0.33,98,93,22,6773,183,Unhealthy
2024-07-23,2024,7,23,Monsoon,Canada,Toronto,25.7,52.0,2.3,1015.8,8.3,6.4,7.0,24.5,38.3,28.4,10.6,1.31,36.3,20.8,0.81,70,63,58,14611,111,Unhealthy for Sensitive Groups
2025-09-01,2025,9,1,Autumn,USA,Seattle,22.0,,0.6,1022.0,9.0,6.7,7.9,35.9,65.3,40.3,9.9,0.75,40.7,22.9,0.61,57,29,9,12350,172,Unhealthy
2024-09-01,2024,9,1,Autumn,France,Paris,26.2,42.0,6.3,1017.6,14.9,3.6,8.5,66.4,98.9,30.5,9.1,1.9,39.8,25.4,0.73,99,91,48,19591,244,Very Unhealthy
2024-07-15,2024,7,15,Monsoon,India,Delhi,24.4,44.0,1.1,1009.8,0.0,7.0,5.3,46.0,84.8,31.8,20.6,2.46,19.9,24.4,0.57,27,67,15,7687,186,Unhealthy
2025-02-08,2025,2,8,Winter,India,Delhi,25.6,59.0,11.3,1020.4,9.3,6.3,4.3,65.0,95.0,48.4,20.2,1.35,28.7,25.6,0.56,98,84,37,23371,257,Very Unhealthy
2024-02-29,2024,2,29,Winter,Australia,Sydney,28.7,49.0,7.6,1003.7,8.9,6.9,4.8,22.7,60.3,21.3,11.1,2.1,42.8,12.9,0.25,44,71,56,7679,110,Unhealthy for Sensitive Groups
2024-01-20,2024,1,20,Winter,USA,Seattle,35.6,49.0,2.4,1018.9,3.3,6.6,5.0,12.2,42.8,22.9,12.5,2.16,40.2,14.3,0.51,45,98,33,2684,86,Moderate
2025-02-05,2025,2,5,Winter,Australia,Brisbane,34.5,79.0,8.9,1012.7,0.0,7.0,6.9,29.8,43.8,20.3,13.8,1.43,40.0,20.0,0.65,72,95,38,3076,128,Unhealthy for Sensitive Groups
2025-11-13,2025,11,13,Autumn,France,Nice,38.4,36.0,9.6,989.8,4.9,7.5,9.2,35.8,59.0,19.1,8.0,0.39,25.7,25.0,0.67,22,30,69,11146,120,Unhealthy for Sensitive Groups
2025-06-30,2025,6,30,Monsoon,South Africa,Durban,33.1,42.0,6.3,1008.7,3.0,5.0,6.2,25.7,36.9,22.6,17.2,1.29,48.7,16.9,0.49,27,39,50,22163,109,Unhealthy for Sensitive Groups
2025-11-24,2025,11,24,Autumn,China,Shanghai,11.4,50.0,3.0,1009.3,7.7,7.7,10.5,74.7,84.9,46.1,11.5,1.89,36.2,19.1,0.42,52,51,29,20090,264,Very Unhealthy
2024-12-15,2024,12,15,Winter,Australia,Adelaide,36.5,52.0,10.4,1014.1,4.4,5.6,7.2,36.6,56.8,33.0,10.1,1.75,41.5,24.3,0.49,100,82,63,24028,157,Unhealthy
2024-01-29,2024,1,29,Winter,Germany,Munich,16.5,63.0,8.1,1016.4,3.1,8.6,10.0,77.0,96.3,36.0,10.2,0.67,51.0,35.1,0.23,74,23,67,5119,265,Very Unhealthy
2025-06-01,2025,6,1,Monsoon,Brazil,Curitiba,26.9,,7.3,1005.0,11.8,7.5,2.3,41.1,78.8,27.9,11.2,1.19,25.0,25.2,0.25,57,79,34,14143,167,Unhealthy
2025-03-28,2025,3,28,Summer,France,Toulouse,3.3,63.0,11.8,1016.5,8.2,6.8,7.9,5.0,33.8,15.9,14.8,1.83,42.3,14.2,0.54,25,68,69,3117,47,Good
2025-02-03,2025,2,3,Winter,France,Nice,28.3,78.0,10.9,1014.1,7.2,9.3,5.5,34.8,57.9,35.4,11.7,1.79,30.0,18.3,0.69,56,51,57,16772,144,Unhealthy for Sensitive Groups
2024-05-18,2024,5,18,Summer,Japan,Osaka,22.9,43.0,4.8,1009.2,0.0,6.4,8.1,28.4,38.4,23.6,5.2,1.75,54.6,20.8,0.18,72,20,36,21703,128,Unhealthy for Sensitive Groups
2024-02-01,2024,2,1,Winter,India,Bengaluru,27.5,50.0,2.1,1023.1,0.0,6.0,6.0,82.8,111.2,42.0,13.8,1.55,59.4,20.4,0.52,82,44,45,23394,303,Hazardous
2024-06-30,2024,6,30,Monsoon,China,Wuhan,28.0,66.0,9.8,1009.0,5.5,8.1,2.7,48.7,74.6,51.9,11.5,1.34,23.0,30.2,0.68,41,44,28,1021,199,Unhealthy
2025-06-19,2025,6,19,Monsoon,USA,New York,27.1,65.0,3.5,1012.7,6.0,11.2,8.8,16.1,43.2,26.1,10.4,1.71,39.1,21.5,0.82,74,85,64,8160,93,Moderate
2024-03-01,2024,3,1,Summer,Japan,Nagoya,33.1,61.0,1.1,1007.3,4.4,6.7,9.5,45.8,85.6,38.5,12.2,0.6,33.6,14.5,0.42,71,88,57,20456,189,Unhealthy
2024-10-08,2024,10,8,Autumn,Germany,Frankfurt,22.4,71.0,6.8,1018.2,6.8,4.7,5.3,27.9,42.6,22.0,14.5,1.23,32.9,14.8,0.25,25,88,68,11605,103,Unhealthy for Sensitive Groups
2024-02-05,2024,2,5,Winter,France,Nice,26.4,91.0,1.3,1010.2,7.9,9.7,5.3,41.4,72.0,40.3,12.2,0.58,22.5,8.4,0.55,92,87,54,16609,175,Unhealthy
2025-05-13,2025,5,13,Summer,France,Nice,46.6,93.0,8.6,1024.1,4.0,8.1,4.6,35.5,53.1,32.4,10.4,2.05,44.9,24.0,0.52,81,29,53,11529,153,Unhealthy
2024-02-29,2024,2,29,Winter,France,Marseille,25.4,45.0,10.5,1023.7,1.8,12.3,4.7,19.8,55.6,27.0,10.3,1.0,38.2,19.8,0.84,51,67,58,15984,105,Unhealthy for Sensitive Groups
2025-11-07,2025,11,7,Autumn,Brazil,Sao Paulo,34.9,58.0,9.0,1015.5,5.4,7.4,6.6,28.6,47.8,31.5,16.3,0.37,34.1,25.9,0.15,31,62,15,23651,133,Unhealthy for Sensitive Groups
2024-11-21,2024,11,21,Autumn,South Africa,Durban,30.7,69.0,0.9,1003.0,0.0,7.3,3.2,33.3,62.7,47.4,10.4,2.24,19.5,14.5,0.82,31,40,5,10046,159,Unhealthy
2024-08-03,2024,8,3,Monsoon,France,Lyon,24.4,52.0,8.0,1013.5,9.3,8.7,7.0,37.7,72.0,27.7,14.1,2.1,32.0,28.6,0.24,81,62,63,5714,156,Unhealthy
2024-03-19,2024,3,19,Summer,Japan,Nagoya,22.1,43.0,9.6,1000.4,1.0,8.8,6.2,40.3,72.7,18.4,9.5,2.46,36.3,5.1,0.82,30,51,44,3369,150,Unhealthy for Sensitive Groups
2025-11-08,2025,11,8,Autumn,France,Toulouse,28.8,37.0,7.5,1010.3,0.0,5.7,8.7,13.3,42.4,17.3,6.0,1.7,47.4,10.8,0.72,30,28,47,8894,77,Moderate
2024-11-30,2024,11,30,Autumn,India,Delhi,15.8,52.0,6.9,1009.9,0.0,8.0,5.5,72.7,88.2,46.9,18.7,2.04,38.4,18.7,0.25,62,52,51,12286,261,Very Unhealthy
2024-08-19,2024,8,19,Monsoon,Brazil,Sao Paulo,37.2,41.0,10.2,1021.5,6.9,7.5,1.7,42.0,81.2,28.1,16.1,1.46,27.9,17.0,0.7,21,51,54,17840,160,Unhealthy
2024-10-18,2024,10,18,Autumn,USA,New York,21.8,39.0,1.8,1019.2,0.5,8.5,6.4,28.7,58.8,12.8,13.2,0.88,29.5,22.0,0.34,39,61,63,14892,108,Unhealthy for Sensitive Groups
2025-01-08,2025,1,8,Winter,Brazil,Rio de Janeiro,29.7,79.0,6.7,1013.4,0.0,7.9,5.7,52.5,77.4,29.0,14.6,2.2,46.1,16.9,0.8,65,35,54,15135,198,Unhealthy
2025-05-17,2025,5,17,Summer,China,Shanghai,24.3,77.0,7.4,996.8,6.2,9.7,5.7,74.8,113.1,59.8,9.8,2.02,29.7,18.1,0.33,88,23,25,9081,294,Very Unhealthy
2025-02-05,2025,2,5,Winter,Australia,Perth,17.6,84.0,1.8,1013.3,0.0,5.8,5.5,53.1,76.5,29.2,9.0,0.47,53.7,18.7,0.1,74,35,18,17970,212,Very Unhealthy
2024-10-07,2024,10,7,Autumn,China,Wuhan,18.5,87.0,4.6,1010.2,7.5,5.9,1.7,71.5,104.8,46.1,17.8,1.26,51.5,15.1,0.9,67,92,61,16925,269,Very Unhealthy
2024-09-02,2024,9,2,Autumn,Germany,Munich,19.5,62.0,4.2,1007.1,0.0,4.6,8.6,41.1,72.5,30.1,6.5,1.44,33.9,17.7,0.27,47,62,18,6066,170,Unhealthy
2024-01-09,2024,1,9,Winter,France,Lyon,15.3,44.0,11.4,1029.8,0.0,9.5,5.9,67.8,77.9,33.2,12.2,1.0,52.1,8.4,0.44,86,38,58,22328,240,Very Unhealthy
2025-01-05,2025,1,5,Winter,Canada,Vancouver,22.2,63.0,9.7,1018.2,8.8,6.2,9.0,35.3,57.3,29.5,9.7,0.45,35.8,10.2,0.3,71,35,43,8434,149,Unhealthy for Sensitive Groups
2025-06-18,2025,6,18,Monsoon,USA,Seattle,35.3,53.0,9.9,1013.8,6.1,4.9,9.3,34.6,74.1,42.5,13.1,1.83,38.3,13.8,0.49,75,33,12,2327,179,Unhealthy
2025-07-10,2025,7,10,Monsoon,India,Chennai,37.8,55.0,9.9,1007.4,1.6,8.7,3.6,26.0,43.2,57.4,11.4,2.44,50.5,17.4,0.67,56,65,15,13480,156,Unhealthy
2024-11-20,2024,11,20,Autumn,Brazil,Curitiba,29.3,60.0,8.2,1006.2,7.2,9.2,5.8,35.5,50.4,27.7,14.3,1.06,36.3,10.5,0.31,34,90,6,2834,150,Unhealthy for Sensitive Groups
2025-07-22,2025,7,22,Monsoon,Japan,Tokyo,23.2,88.0,8.0,1013.3,5.9,8.7,7.0,33.1,66.9,24.5,11.4,1.71,22.8,15.1,0.6,82,50,65,11446,136,Unhealthy for Sensitive Groups
2024-12-11,2024,12,11,Winter,South Africa,Pretoria,24.3,41.0,11.8,1009.1,0.0,9.1,5.9,68.4,94.1,27.2,15.3,1.07,35.3,18.1,0.3,71,58,52,7009,238,Very Unhealthy
2025-11-04,2025,11,4,Autumn,Brazil,Curitiba,36.5,93.0,7.6,1013.0,8.5,9.4,1.0,35.4,62.7,21.7,14.1,1.04,39.6,12.6,0.2,22,94,5,14307,151,Unhealthy
2024-03-18,2024,3,18,Summer,Canada,Vancouver,28.0,69.0,1.9,1022.9,8.7,9.6,5.8,25.3,52.2,22.4,12.7,1.46,8.3,13.9,0.45,25,49,69,1885,92,Moderate
2025-11-25,2025,11,25,Autumn,Germany,Berlin,35.1,48.0,7.6,1009.5,3.6,6.4,7.2,39.3,69.6,23.9,10.5,1.6,32.3,15.7,0.58,87,69,48,22356,160,Unhealthy
2024-01-17,2024,1,17,Winter,Australia,Melbourne,6.9,94.0,1.2,1018.0,0.0,10.8,7.0,29.3,57.5,29.4,10.3,1.15,43.7,18.0,0.4,26,85,64,5620,124,Unhealthy for Sensitive Groups
2025-04-14,2025,4,14,Summer,Japan,Osaka,30.4,45.0,11.3,1010.6,0.0,7.1,3.5,36.6,74.1,30.8,11.6,0.54,47.5,21.6,0.36,57,82,69,11570,156,Unhealthy
2025-03-07,2025,3,7,Summer,China,Shanghai,29.4,73.0,1.7,1006.3,7.3,6.1,6.6,72.6,112.2,55.3,14.6,0.91,32.6,17.3,0.3,88,78,20,6643,290,Very Unhealthy
2025-12-24,2025,12,24,Winter,Germany,Hamburg,19.1,93.0,5.2,1014.1,13.9,13.2,3.7,32.8,55.1,16.2,7.5,2.12,36.3,16.7,0.12,40,41,68,16214,117,Unhealthy for Sensitive Groups
2024-04-28,2024,4,28,Summer,China,Beijing,16.6,38.0,6.3,1008.3,15.3,9.3,4.9,68.2,104.9,32.1,15.0,1.17,40.4,17.1,0.48,64,47,65,21793,243,Very Unhealthy
2024-08-14,2024,8,14,Monsoon,India,Chennai,10.6,67.0,7.0,1031.2,15.2,8.5,5.8,51.4,88.4,34.3,7.3,2.45,30.3,13.8,0.64,89,22,26,18293,209,Very Unhealthy
2024-07-21,2024,7,21,Monsoon,Japan,Kyoto,21.2,43.0,6.8,1008.3,0.0,8.3,2.3,22.4,45.5,27.8,14.1,0.7,34.6,18.9,0.63,96,90,24,11034,125,Unhealthy for Sensitive Groups
2025-09-19,2025,9,19,Autumn,Australia,Adelaide,22.1,37.0,0.9,1011.6,10.6,5.1,5.6,10.4,41.4,28.6,10.3,1.8,41.6,14.6,0.31,70,73,12,8241,97,Moderate
2024-04-17,2024,4,17,Summer,France,Toulouse,23.4,77.0,6.0,1014.5,1.6,12.5,9.6,25.5,60.8,30.7,11.1,1.36,52.9,14.8,0.65,77,79,12,552,148,Unhealthy for Sensitive Groups
